tweets,a,b,c,d,e,f,g,h,i,f
"Blackdogworld;2011-04-29 18:52;2;1;""RT @ ruisaldanha: RT @ TheIndyNews Deforestation: The hidden cause of global warming - Climate Change  Environment - .. http://ind.pn/c3nz8D"";;@ @;;""64114756927225856"";https://twitter.com/Blackdogworld/status/64114756927225856 ",,,,,"Blackdogworld;2011-04-29 18:52;2;1;""RT @ ruisaldanha: RT @ TheIndyNews Deforestation: The hidden cause of global warming - Climate Change",," Environment - .. http://ind.pn/c3nz8D"";;@ @;;""64114756927225856"";https://twitter.com/Blackdogworld/status/64114756927225856",,"Blackdogworld;2011-04-29 18:52;2;1;""RT @ ruisaldanha: RT @ TheIndyNews Deforestation: The hidden cause of global warming - Climate Change  Environment - .. http://ind.pn/c3nz8D"";;@ @;;""64114756927225856"";https://twitter.com/Blackdogworld/status/64114756927225856",
"litkelly;2011-04-29 18:51;0;0;""OH nononooo so sorry Gore the Bore wind causes tornadoes not climate change."";;;;""64114522557911041"";https://twitter.com/litkelly/status/64114522557911041 ",,,,,"litkelly;2011-04-29 18:51;0;0;""OH nononooo so sorry Gore the Bore wind causes tornadoes",,"not climate change."";;;;""64114522557911041"";https://twitter.com/litkelly/status/64114522557911041",,"litkelly;2011-04-29 18:51;0;0;""OH nononooo so sorry Gore the Bore wind causes tornadoes not climate change."";;;;""64114522557911041"";https://twitter.com/litkelly/status/64114522557911041",
"mmalott;2011-04-29 18:50;1;0;""Best news on climate change this year  I bet. http://goo.gl/hyGGR"";;;;""64114468535287834"";https://twitter.com/mmalott/status/64114468535287834 ",,,,,"mmalott;2011-04-29 18:50;1;0;""Best news on climate change this year",," I bet. http://goo.gl/hyGGR"";;;;""64114468535287834"";https://twitter.com/mmalott/status/64114468535287834",,"mmalott;2011-04-29 18:50;1;0;""Best news on climate change this year  I bet. http://goo.gl/hyGGR"";;;;""64114468535287834"";https://twitter.com/mmalott/status/64114468535287834",
"TheBradBlog;2011-04-29 18:49;3;1;""RT @ ClimateSignals: USA Today: 2 studies pnt to link between # climate change & the storm conditions that feed tornadoes http://bit.ly/iDxelf"";;@;#;""64114067618541569"";https://twitter.com/TheBradBlog/status/64114067618541569  ",,,,,"TheBradBlog;2011-04-29 18:49;3;1;""RT @ ClimateSignals: USA Today: 2 studies pnt to link between # climate change & the storm conditions that feed tornadoes http://bit.ly/iDxelf"";;@;#;""64114067618541569"";https://twitter.com/TheBradBlog/status/64114067618541569",,,,"TheBradBlog;2011-04-29 18:49;3;1;""RT @ ClimateSignals: USA Today: 2 studies pnt to link between # climate change & the storm conditions that feed tornadoes http://bit.ly/iDxelf"";;@;#;""64114067618541569"";https://twitter.com/TheBradBlog/status/64114067618541569 ",
"GodIsDead;2011-04-29 18:49;1;0;""@ JM_Ashby All these people in the South who've had massive damage to their communities probably STILL will deny man-made climate change."";;@;;""64114059422871552"";https://twitter.com/GodIsDead/status/64114059422871552  ",,,,,"GodIsDead;2011-04-29 18:49;1;0;""@ JM_Ashby All these people in the South who've had massive damage to their communities probably STILL will deny man-made climate change."";;@;;""64114059422871552"";https://twitter.com/GodIsDead/status/64114059422871552",,,,"GodIsDead;2011-04-29 18:49;1;0;""@ JM_Ashby All these people in the South who've had massive damage to their communities probably STILL will deny man-made climate change."";;@;;""64114059422871552"";https://twitter.com/GodIsDead/status/64114059422871552 ",
"wheelchairwiz;2011-04-29 18:48;0;0;""Protect Our Forests from Climate Change: http://bit.ly/jjUKhJ via @ addthis"";;@;;""64113757709807616"";https://twitter.com/wheelchairwiz/status/64113757709807616  ",,,,,"wheelchairwiz;2011-04-29 18:48;0;0;""Protect Our Forests from Climate Change: http://bit.ly/jjUKhJ via @ addthis"";;@;;""64113757709807616"";https://twitter.com/wheelchairwiz/status/64113757709807616",,,,"wheelchairwiz;2011-04-29 18:48;0;0;""Protect Our Forests from Climate Change: http://bit.ly/jjUKhJ via @ addthis"";;@;;""64113757709807616"";https://twitter.com/wheelchairwiz/status/64113757709807616 ",
"SwagLifeMag;2011-04-29 18:47;0;0;""Royal Weddings and Climate Change: At Climate Central  we are excited about the Royal Wedding not because it's a... http://bit.ly/jm2TwJ"";;;;""64113494882123776"";https://twitter.com/SwagLifeMag/status/64113494882123776 ",,,,,"SwagLifeMag;2011-04-29 18:47;0;0;""Royal Weddings and Climate Change: At Climate Central",," we are excited about the Royal Wedding not because it's a... http://bit.ly/jm2TwJ"";;;;""64113494882123776"";https://twitter.com/SwagLifeMag/status/64113494882123776",,"SwagLifeMag;2011-04-29 18:47;0;0;""Royal Weddings and Climate Change: At Climate Central  we are excited about the Royal Wedding not because it's a... http://bit.ly/jm2TwJ"";;;;""64113494882123776"";https://twitter.com/SwagLifeMag/status/64113494882123776",
"gasfuel;2011-04-29 18:45;0;0;""Preparing for killer tornadoes and other climate change impacts http://ff.im/-ChNQL"";;;;""64113152350101504"";https://twitter.com/gasfuel/status/64113152350101504  ",,,,,"gasfuel;2011-04-29 18:45;0;0;""Preparing for killer tornadoes and other climate change impacts http://ff.im/-ChNQL"";;;;""64113152350101504"";https://twitter.com/gasfuel/status/64113152350101504",,,,"gasfuel;2011-04-29 18:45;0;0;""Preparing for killer tornadoes and other climate change impacts http://ff.im/-ChNQL"";;;;""64113152350101504"";https://twitter.com/gasfuel/status/64113152350101504 ",
"hori3125;2011-04-29 18:45;0;0;""We have rarely tornadoes here in JPN until recently. But we have some recently. Probably due to climate change."";;;;""64113109408825344"";https://twitter.com/hori3125/status/64113109408825344  ",,,,,"hori3125;2011-04-29 18:45;0;0;""We have rarely tornadoes here in JPN until recently. But we have some recently. Probably due to climate change."";;;;""64113109408825344"";https://twitter.com/hori3125/status/64113109408825344",,,,"hori3125;2011-04-29 18:45;0;0;""We have rarely tornadoes here in JPN until recently. But we have some recently. Probably due to climate change."";;;;""64113109408825344"";https://twitter.com/hori3125/status/64113109408825344 ",
"EGleaks_news;2011-04-29 18:45;0;0;""Hot Topic: A lesson in climate change and chili peppers http://bit.ly/mDZA1v"";;;;""64113084796649472"";https://twitter.com/EGleaks_news/status/64113084796649472  ",,,,,"EGleaks_news;2011-04-29 18:45;0;0;""Hot Topic: A lesson in climate change and chili peppers http://bit.ly/mDZA1v"";;;;""64113084796649472"";https://twitter.com/EGleaks_news/status/64113084796649472",,,,"EGleaks_news;2011-04-29 18:45;0;0;""Hot Topic: A lesson in climate change and chili peppers http://bit.ly/mDZA1v"";;;;""64113084796649472"";https://twitter.com/EGleaks_news/status/64113084796649472 ",
