tweets,a,b,c,d,e,f,g,h,i,f
"ThatDuaneLester;2011-04-29 17:58;0;0;""New from AAB: ThinkProgress: Stupid Climate Change Deniers Deserve Tornado Death http://bit.ly/msuzLH"";;;;""64101226152853504"";https://twitter.com/ThatDuaneLester/status/64101226152853504  ",,,,,"ThatDuaneLester;2011-04-29 17:58;0;0;""New from AAB: ThinkProgress: Stupid Climate Change Deniers Deserve Tornado Death http://bit.ly/msuzLH"";;;;""64101226152853504"";https://twitter.com/ThatDuaneLester/status/64101226152853504",,,,"ThatDuaneLester;2011-04-29 17:58;0;0;""New from AAB: ThinkProgress: Stupid Climate Change Deniers Deserve Tornado Death http://bit.ly/msuzLH"";;;;""64101226152853504"";https://twitter.com/ThatDuaneLester/status/64101226152853504 ",
"CO2HOG;2011-04-29 17:58;2;0;""via @ Bodhi1 ThinkProgress: Stupid Climate Change Deniers Deserve Tornado Death http://cgk7g.tk # tcot"";;@;#;""64101225754394624"";https://twitter.com/CO2HOG/status/64101225754394624  ",,,,,"CO2HOG;2011-04-29 17:58;2;0;""via @ Bodhi1 ThinkProgress: Stupid Climate Change Deniers Deserve Tornado Death http://cgk7g.tk # tcot"";;@;#;""64101225754394624"";https://twitter.com/CO2HOG/status/64101225754394624",,,,"CO2HOG;2011-04-29 17:58;2;0;""via @ Bodhi1 ThinkProgress: Stupid Climate Change Deniers Deserve Tornado Death http://cgk7g.tk # tcot"";;@;#;""64101225754394624"";https://twitter.com/CO2HOG/status/64101225754394624 ",
"hgmirand;2011-04-29 17:58;0;0;""Can we please start taking # climate change seriously now before more tragedies happen and we see more intense storms? # Alabama # p2"";;;# # #;""64101161258586112"";https://twitter.com/hgmirand/status/64101161258586112  ",,,,,"hgmirand;2011-04-29 17:58;0;0;""Can we please start taking # climate change seriously now before more tragedies happen and we see more intense storms? # Alabama # p2"";;;# # #;""64101161258586112"";https://twitter.com/hgmirand/status/64101161258586112",,,,"hgmirand;2011-04-29 17:58;0;0;""Can we please start taking # climate change seriously now before more tragedies happen and we see more intense storms? # Alabama # p2"";;;# # #;""64101161258586112"";https://twitter.com/hgmirand/status/64101161258586112 ",
"Ecobold;2011-04-29 17:57;0;0;""American pika falling victim to climate change http://bit.ly/ifLUnX # animals"";;;#;""64100906467201024"";https://twitter.com/Ecobold/status/64100906467201024  ",,,,,"Ecobold;2011-04-29 17:57;0;0;""American pika falling victim to climate change http://bit.ly/ifLUnX # animals"";;;#;""64100906467201024"";https://twitter.com/Ecobold/status/64100906467201024",,,,"Ecobold;2011-04-29 17:57;0;0;""American pika falling victim to climate change http://bit.ly/ifLUnX # animals"";;;#;""64100906467201024"";https://twitter.com/Ecobold/status/64100906467201024 ",
"ZArtofWellness;2011-04-29 17:56;0;0;""2011 Tornadoes: Is Climate Change To Blame For The Devastating Weather? http://fb.me/WCZZ4O4x"";;;;""64100809067073536"";https://twitter.com/ZArtofWellness/status/64100809067073536  ",,,,,"ZArtofWellness;2011-04-29 17:56;0;0;""2011 Tornadoes: Is Climate Change To Blame For The Devastating Weather? http://fb.me/WCZZ4O4x"";;;;""64100809067073536"";https://twitter.com/ZArtofWellness/status/64100809067073536",,,,"ZArtofWellness;2011-04-29 17:56;0;0;""2011 Tornadoes: Is Climate Change To Blame For The Devastating Weather? http://fb.me/WCZZ4O4x"";;;;""64100809067073536"";https://twitter.com/ZArtofWellness/status/64100809067073536 ",
"meteomara_e;2011-04-29 17:56;0;1;""Watts Up With That: The folly of linking tornado outbreaks to “climate change”: In times of tragedy  th... http://bit.ly/kwoGnm # climate"";;;#;""64100770886320128"";https://twitter.com/meteomara_e/status/64100770886320128 ",,,,,"meteomara_e;2011-04-29 17:56;0;1;""Watts Up With That: The folly of linking tornado outbreaks to “climate change”: In times of tragedy",," th... http://bit.ly/kwoGnm # climate"";;;#;""64100770886320128"";https://twitter.com/meteomara_e/status/64100770886320128",,"meteomara_e;2011-04-29 17:56;0;1;""Watts Up With That: The folly of linking tornado outbreaks to “climate change”: In times of tragedy  th... http://bit.ly/kwoGnm # climate"";;;#;""64100770886320128"";https://twitter.com/meteomara_e/status/64100770886320128",
"hatakah;2011-04-29 17:56;0;0;""The folly of linking tornado outbreaks to “climate change”: In times of tragedy  there always seems to be huckst... http://bit.ly/iEanHF"";;;;""64100770714365954"";https://twitter.com/hatakah/status/64100770714365954 ",,,,,"hatakah;2011-04-29 17:56;0;0;""The folly of linking tornado outbreaks to “climate change”: In times of tragedy",," there always seems to be huckst... http://bit.ly/iEanHF"";;;;""64100770714365954"";https://twitter.com/hatakah/status/64100770714365954",,"hatakah;2011-04-29 17:56;0;0;""The folly of linking tornado outbreaks to “climate change”: In times of tragedy  there always seems to be huckst... http://bit.ly/iEanHF"";;;;""64100770714365954"";https://twitter.com/hatakah/status/64100770714365954",
"mariogreat;2011-04-29 17:56;0;0;""Watts - The folly of linking tornado outbreaks to “climate change” http://bit.ly/mgEmRQ"";;;;""64100770567569409"";https://twitter.com/mariogreat/status/64100770567569409  ",,,,,"mariogreat;2011-04-29 17:56;0;0;""Watts - The folly of linking tornado outbreaks to “climate change” http://bit.ly/mgEmRQ"";;;;""64100770567569409"";https://twitter.com/mariogreat/status/64100770567569409",,,,"mariogreat;2011-04-29 17:56;0;0;""Watts - The folly of linking tornado outbreaks to “climate change” http://bit.ly/mgEmRQ"";;;;""64100770567569409"";https://twitter.com/mariogreat/status/64100770567569409 ",
"CO2HOG;2011-04-29 17:56;0;0;""via @ wattsupwiththat The folly of linking tornado outbreaks to “climate change” http://bit.ly/mPsxDW # tcot"";;@;#;""64100770391400448"";https://twitter.com/CO2HOG/status/64100770391400448  ",,,,,"CO2HOG;2011-04-29 17:56;0;0;""via @ wattsupwiththat The folly of linking tornado outbreaks to “climate change” http://bit.ly/mPsxDW # tcot"";;@;#;""64100770391400448"";https://twitter.com/CO2HOG/status/64100770391400448",,,,"CO2HOG;2011-04-29 17:56;0;0;""via @ wattsupwiththat The folly of linking tornado outbreaks to “climate change” http://bit.ly/mPsxDW # tcot"";;@;#;""64100770391400448"";https://twitter.com/CO2HOG/status/64100770391400448 ",
"wattsupwiththat;2011-04-29 17:55;10;0;""The folly of linking tornado outbreaks to ""climate change"" http://wp.me/p7y4l-a90"";;;;""64100469177466880"";https://twitter.com/wattsupwiththat/status/64100469177466880  ",,,,,"wattsupwiththat;2011-04-29 17:55;10;0;""The folly of linking tornado outbreaks to ""climate change"" http://wp.me/p7y4l-a90"";;;;""64100469177466880"";https://twitter.com/wattsupwiththat/status/64100469177466880",,,,"wattsupwiththat;2011-04-29 17:55;10;0;""The folly of linking tornado outbreaks to ""climate change"" http://wp.me/p7y4l-a90"";;;;""64100469177466880"";https://twitter.com/wattsupwiththat/status/64100469177466880 ",
"ULGlobalCities;2011-04-29 17:54;0;0;""Is Climate Change To Blame For The Devastating Tornad... http://www.huffingtonpost.com/2011/04/29/tornadoes-climate-change-2011_n_855369.html …"";;;;""64100274855350272"";https://twitter.com/ULGlobalCities/status/64100274855350272  ",,,,,"ULGlobalCities;2011-04-29 17:54;0;0;""Is Climate Change To Blame For The Devastating Tornad... http://www.huffingtonpost.com/2011/04/29/tornadoes-climate-change-2011_n_855369.html …"";;;;""64100274855350272"";https://twitter.com/ULGlobalCities/status/64100274855350272",,,,"ULGlobalCities;2011-04-29 17:54;0;0;""Is Climate Change To Blame For The Devastating Tornad... http://www.huffingtonpost.com/2011/04/29/tornadoes-climate-change-2011_n_855369.html …"";;;;""64100274855350272"";https://twitter.com/ULGlobalCities/status/64100274855350272 ",
"connolma;2011-04-29 17:53;0;0;""Foul winds of political climate change - http://bit.ly/iBqd3u"";;;;""64100120207167488"";https://twitter.com/connolma/status/64100120207167488  ",,,,,"connolma;2011-04-29 17:53;0;0;""Foul winds of political climate change - http://bit.ly/iBqd3u"";;;;""64100120207167488"";https://twitter.com/connolma/status/64100120207167488",,,,"connolma;2011-04-29 17:53;0;0;""Foul winds of political climate change - http://bit.ly/iBqd3u"";;;;""64100120207167488"";https://twitter.com/connolma/status/64100120207167488 ",
"jilevin;2011-04-29 17:53;0;0;""@ jonesen1976 call it ""Climate Change"". Thanks."";;@;;""64100090310168576"";https://twitter.com/jilevin/status/64100090310168576  ",,,,,"jilevin;2011-04-29 17:53;0;0;""@ jonesen1976 call it ""Climate Change"". Thanks."";;@;;""64100090310168576"";https://twitter.com/jilevin/status/64100090310168576",,,,"jilevin;2011-04-29 17:53;0;0;""@ jonesen1976 call it ""Climate Change"". Thanks."";;@;;""64100090310168576"";https://twitter.com/jilevin/status/64100090310168576 ",
"robertshutter;2011-04-29 17:53;0;0;""RT @ globalgirlmedia Check out # filmmakers & # activists talking to Edith Romero about # climatechange @GSCFilmFestival! http://www.glob..."";;@ @GSCFilmFestival;# # #;""64099993547575296"";https://twitter.com/robertshutter/status/64099993547575296  ",,,,,"robertshutter;2011-04-29 17:53;0;0;""RT @ globalgirlmedia Check out # filmmakers & # activists talking to Edith Romero about # climatechange @GSCFilmFestival! http://www.glob..."";;@ @GSCFilmFestival;# # #;""64099993547575296"";https://twitter.com/robertshutter/status/64099993547575296",,,,"robertshutter;2011-04-29 17:53;0;0;""RT @ globalgirlmedia Check out # filmmakers & # activists talking to Edith Romero about # climatechange @GSCFilmFestival! http://www.glob..."";;@ @GSCFilmFestival;# # #;""64099993547575296"";https://twitter.com/robertshutter/status/64099993547575296 ",
"Ariel_Dianzon;2011-04-29 17:52;0;0;""If nothing can be blamed on 'climate change' is it happening?: The mantra 'no single event can be directly linke... http://bit.ly/krKQoE"";;;;""64099771970887680"";https://twitter.com/Ariel_Dianzon/status/64099771970887680  ",,,,,"Ariel_Dianzon;2011-04-29 17:52;0;0;""If nothing can be blamed on 'climate change' is it happening?: The mantra 'no single event can be directly linke... http://bit.ly/krKQoE"";;;;""64099771970887680"";https://twitter.com/Ariel_Dianzon/status/64099771970887680",,,,"Ariel_Dianzon;2011-04-29 17:52;0;0;""If nothing can be blamed on 'climate change' is it happening?: The mantra 'no single event can be directly linke... http://bit.ly/krKQoE"";;;;""64099771970887680"";https://twitter.com/Ariel_Dianzon/status/64099771970887680 ",
"Ariel_Dianzon;2011-04-29 17:52;0;0;""Sioux City Climate Change: I've lived in Iowa  for some reason  since I was about 2 years old... so essentially ... http://bit.ly/mxBjv6"";;;;""64099770825838592"";https://twitter.com/Ariel_Dianzon/status/64099770825838592",," since I was about 2 years old... so essentially ... http://bit.ly/mxBjv6"";;;;""64099770825838592"";https://twitter.com/Ariel_Dianzon/status/64099770825838592",,,"Ariel_Dianzon;2011-04-29 17:52;0;0;""Sioux City Climate Change: I've lived in Iowa",, for some reason,,"Ariel_Dianzon;2011-04-29 17:52;0;0;""Sioux City Climate Change: I've lived in Iowa  for some reason",
"Ariel_Dianzon;2011-04-29 17:52;0;0;""If nothing can be blamed on 'climate change' is it happening?: The mantra 'no single event can be directly linke... http://bit.ly/krKQoF"";;;;""64099770515464193"";https://twitter.com/Ariel_Dianzon/status/64099770515464193  ",,,,,"Ariel_Dianzon;2011-04-29 17:52;0;0;""If nothing can be blamed on 'climate change' is it happening?: The mantra 'no single event can be directly linke... http://bit.ly/krKQoF"";;;;""64099770515464193"";https://twitter.com/Ariel_Dianzon/status/64099770515464193",,,,"Ariel_Dianzon;2011-04-29 17:52;0;0;""If nothing can be blamed on 'climate change' is it happening?: The mantra 'no single event can be directly linke... http://bit.ly/krKQoF"";;;;""64099770515464193"";https://twitter.com/Ariel_Dianzon/status/64099770515464193 ",
"hweldon;2011-04-29 17:52;0;0;""What up w all these natural disasters? Hmm.....could it be climate change?"";;;;""64099701695320065"";https://twitter.com/hweldon/status/64099701695320065  ",,,,,"hweldon;2011-04-29 17:52;0;0;""What up w all these natural disasters? Hmm.....could it be climate change?"";;;;""64099701695320065"";https://twitter.com/hweldon/status/64099701695320065",,,,"hweldon;2011-04-29 17:52;0;0;""What up w all these natural disasters? Hmm.....could it be climate change?"";;;;""64099701695320065"";https://twitter.com/hweldon/status/64099701695320065 ",
"shopsmartultd;2011-04-29 17:52;0;0;""Climate change could spawn more tornadoes: By Doyle Rice  USA TODAY As with any major weather disaster these day... http://bit.ly/liMJDe"";;;;""64099647056125952"";https://twitter.com/shopsmartultd/status/64099647056125952 ",,,,,"shopsmartultd;2011-04-29 17:52;0;0;""Climate change could spawn more tornadoes: By Doyle Rice",," USA TODAY As with any major weather disaster these day... http://bit.ly/liMJDe"";;;;""64099647056125952"";https://twitter.com/shopsmartultd/status/64099647056125952",,"shopsmartultd;2011-04-29 17:52;0;0;""Climate change could spawn more tornadoes: By Doyle Rice  USA TODAY As with any major weather disaster these day... http://bit.ly/liMJDe"";;;;""64099647056125952"";https://twitter.com/shopsmartultd/status/64099647056125952",
"cj38089;2011-04-29 17:52;0;0;""Climate change could spawn more tornadoes: By Doyle Rice  USA TODAY As with any major weather disaster these day... http://bit.ly/liMJDe"";;;;""64099646976425984"";https://twitter.com/cj38089/status/64099646976425984 ",,,,,"cj38089;2011-04-29 17:52;0;0;""Climate change could spawn more tornadoes: By Doyle Rice",," USA TODAY As with any major weather disaster these day... http://bit.ly/liMJDe"";;;;""64099646976425984"";https://twitter.com/cj38089/status/64099646976425984",,"cj38089;2011-04-29 17:52;0;0;""Climate change could spawn more tornadoes: By Doyle Rice  USA TODAY As with any major weather disaster these day... http://bit.ly/liMJDe"";;;;""64099646976425984"";https://twitter.com/cj38089/status/64099646976425984",
"maxhalliday;2011-04-29 17:51;0;0;""@ HolmOakWinesTas @ stoneyrise a lover of cool climate Cabernet and climate change"";;@ @;;""64099574121369600"";https://twitter.com/maxhalliday/status/64099574121369600  ",,,,,"maxhalliday;2011-04-29 17:51;0;0;""@ HolmOakWinesTas @ stoneyrise a lover of cool climate Cabernet and climate change"";;@ @;;""64099574121369600"";https://twitter.com/maxhalliday/status/64099574121369600",,,,"maxhalliday;2011-04-29 17:51;0;0;""@ HolmOakWinesTas @ stoneyrise a lover of cool climate Cabernet and climate change"";;@ @;;""64099574121369600"";https://twitter.com/maxhalliday/status/64099574121369600 ",
"Lavellsays;2011-04-29 17:51;0;0;""Obama in Al: 'I've never seen devastation like this' http://bit.ly/iDOjRR # climatechange"";;;#;""64099500867862528"";https://twitter.com/Lavellsays/status/64099500867862528  ",,,,,"Lavellsays;2011-04-29 17:51;0;0;""Obama in Al: 'I've never seen devastation like this' http://bit.ly/iDOjRR # climatechange"";;;#;""64099500867862528"";https://twitter.com/Lavellsays/status/64099500867862528",,,,"Lavellsays;2011-04-29 17:51;0;0;""Obama in Al: 'I've never seen devastation like this' http://bit.ly/iDOjRR # climatechange"";;;#;""64099500867862528"";https://twitter.com/Lavellsays/status/64099500867862528 ",
"jazgar;2011-04-29 17:51;0;0;""Brown Recluse Spiders May Spread Across U.S. Due To Climate Change http://feedly.com/k/jYyM2K # p2 # tcot # WINNING!!!"";;;# # #;""64099489937498112"";https://twitter.com/jazgar/status/64099489937498112  ",,,,,"jazgar;2011-04-29 17:51;0;0;""Brown Recluse Spiders May Spread Across U.S. Due To Climate Change http://feedly.com/k/jYyM2K # p2 # tcot # WINNING!!!"";;;# # #;""64099489937498112"";https://twitter.com/jazgar/status/64099489937498112",,,,"jazgar;2011-04-29 17:51;0;0;""Brown Recluse Spiders May Spread Across U.S. Due To Climate Change http://feedly.com/k/jYyM2K # p2 # tcot # WINNING!!!"";;;# # #;""64099489937498112"";https://twitter.com/jazgar/status/64099489937498112 ",
"RockDocInLV;2011-04-29 17:51;0;0;""Deadliest US Tornado in 37 Years Wracks the South... But Is Climate Change to Blame? | AlterNet http://bit.ly/iqLbhZ"";;;;""64099394877788160"";https://twitter.com/RockDocInLV/status/64099394877788160  ",,,,,"RockDocInLV;2011-04-29 17:51;0;0;""Deadliest US Tornado in 37 Years Wracks the South... But Is Climate Change to Blame? | AlterNet http://bit.ly/iqLbhZ"";;;;""64099394877788160"";https://twitter.com/RockDocInLV/status/64099394877788160",,,,"RockDocInLV;2011-04-29 17:51;0;0;""Deadliest US Tornado in 37 Years Wracks the South... But Is Climate Change to Blame? | AlterNet http://bit.ly/iqLbhZ"";;;;""64099394877788160"";https://twitter.com/RockDocInLV/status/64099394877788160 ",
"BinMadison;2011-04-29 17:50;0;0;""Top Climate Scientist On The Monster Tornadoes: ‘It Is Irresponsible Not To Mention Climate C http://thkpr.gs/mMIOCm # climatechange # tornadoes"";;;# #;""64099365211471872"";https://twitter.com/BinMadison/status/64099365211471872  ",,,,,"BinMadison;2011-04-29 17:50;0;0;""Top Climate Scientist On The Monster Tornadoes: ‘It Is Irresponsible Not To Mention Climate C http://thkpr.gs/mMIOCm # climatechange # tornadoes"";;;# #;""64099365211471872"";https://twitter.com/BinMadison/status/64099365211471872",,,,"BinMadison;2011-04-29 17:50;0;0;""Top Climate Scientist On The Monster Tornadoes: ‘It Is Irresponsible Not To Mention Climate C http://thkpr.gs/mMIOCm # climatechange # tornadoes"";;;# #;""64099365211471872"";https://twitter.com/BinMadison/status/64099365211471872 ",
"karenilsa;2011-04-29 17:50;0;0;""oh my... my mother does not believe in global warming/climate change. i. just. cannot. her reasoning is  ""god knows what he's doing."""";;;;""64099329555697664"";https://twitter.com/karenilsa/status/64099329555697664 ",,,,,"karenilsa;2011-04-29 17:50;0;0;""oh my... my mother does not believe in global warming/climate change. i. just. cannot. her reasoning is",," ""god knows what he's doing."""";;;;""64099329555697664"";https://twitter.com/karenilsa/status/64099329555697664",,"karenilsa;2011-04-29 17:50;0;0;""oh my... my mother does not believe in global warming/climate change. i. just. cannot. her reasoning is  ""god knows what he's doing."""";;;;""64099329555697664"";https://twitter.com/karenilsa/status/64099329555697664",
"CA_Dem;2011-04-29 17:48;3;0;""Lt. Gov. Gavin Newsom just fired up the crowd at the Environmental Caucus. Fighting global climate change is a job creator! # cadem2011"";;;#;""64098693015539712"";https://twitter.com/CA_Dem/status/64098693015539712  ",,,,,"CA_Dem;2011-04-29 17:48;3;0;""Lt. Gov. Gavin Newsom just fired up the crowd at the Environmental Caucus. Fighting global climate change is a job creator! # cadem2011"";;;#;""64098693015539712"";https://twitter.com/CA_Dem/status/64098693015539712",,,,"CA_Dem;2011-04-29 17:48;3;0;""Lt. Gov. Gavin Newsom just fired up the crowd at the Environmental Caucus. Fighting global climate change is a job creator! # cadem2011"";;;#;""64098693015539712"";https://twitter.com/CA_Dem/status/64098693015539712 ",
"dougom;2011-04-29 17:46;0;0;""RT @ msnbc_breaking Death toll in South’s tornadoes at 318  >1974 ‘Super Outbreak’//But worry not  global climate change is just a myth!"";;@;;""64098310469853184"";https://twitter.com/dougom/status/64098310469853184",," global climate change is just a myth!"";;@;;""64098310469853184"";https://twitter.com/dougom/status/64098310469853184",,,"dougom;2011-04-29 17:46;0;0;""RT @ msnbc_breaking Death toll in South’s tornadoes at 318",, >1974 ‘Super Outbreak’//But worry not,,"dougom;2011-04-29 17:46;0;0;""RT @ msnbc_breaking Death toll in South’s tornadoes at 318  >1974 ‘Super Outbreak’//But worry not",
"xtinaz_09;2011-04-29 17:46;0;0;""@ Earth__OK Weather’s been wonky lately  any news on why climate change trackers?"";;@;;""64098306158104576"";https://twitter.com/xtinaz_09/status/64098306158104576 ",,,,,"xtinaz_09;2011-04-29 17:46;0;0;""@ Earth__OK Weather’s been wonky lately",," any news on why climate change trackers?"";;@;;""64098306158104576"";https://twitter.com/xtinaz_09/status/64098306158104576",,"xtinaz_09;2011-04-29 17:46;0;0;""@ Earth__OK Weather’s been wonky lately  any news on why climate change trackers?"";;@;;""64098306158104576"";https://twitter.com/xtinaz_09/status/64098306158104576",
"macolbath;2011-04-29 17:44;0;0;""Protect Our Forests from Climate Change: http://bit.ly/iWIWGU via @ addthis"";;@;;""64097780196573184"";https://twitter.com/macolbath/status/64097780196573184  ",,,,,"macolbath;2011-04-29 17:44;0;0;""Protect Our Forests from Climate Change: http://bit.ly/iWIWGU via @ addthis"";;@;;""64097780196573184"";https://twitter.com/macolbath/status/64097780196573184",,,,"macolbath;2011-04-29 17:44;0;0;""Protect Our Forests from Climate Change: http://bit.ly/iWIWGU via @ addthis"";;@;;""64097780196573184"";https://twitter.com/macolbath/status/64097780196573184 ",
"AGW_IS_A_HOAX;2011-04-29 17:44;0;0;""Record snowfall boosts Mount Washington visits http://tomnelson.blogspot.com/2011/04/record-snowfall-boosts-mount-washington.html … # AGW # Eco # Green # Climate # Cop16 # CO2 # GlobalWarming # ClimateChange"";;;# # # # # # # #;""64097634520018944"";https://twitter.com/AGW_IS_A_HOAX/status/64097634520018944  ",,,,,"AGW_IS_A_HOAX;2011-04-29 17:44;0;0;""Record snowfall boosts Mount Washington visits http://tomnelson.blogspot.com/2011/04/record-snowfall-boosts-mount-washington.html … # AGW # Eco # Green # Climate # Cop16 # CO2 # GlobalWarming # ClimateChange"";;;# # # # # # # #;""64097634520018944"";https://twitter.com/AGW_IS_A_HOAX/status/64097634520018944",,,,"AGW_IS_A_HOAX;2011-04-29 17:44;0;0;""Record snowfall boosts Mount Washington visits http://tomnelson.blogspot.com/2011/04/record-snowfall-boosts-mount-washington.html … # AGW # Eco # Green # Climate # Cop16 # CO2 # GlobalWarming # ClimateChange"";;;# # # # # # # #;""64097634520018944"";https://twitter.com/AGW_IS_A_HOAX/status/64097634520018944 ",
"lucemorals;2011-04-29 17:42;0;0;""@holljj I should talk to @ aidanjago ? Ok cool cats  thank ya  need to write an article on youth & climate change."";;@holljj @;;""64097274871029760"";https://twitter.com/lucemorals/status/64097274871029760",," need to write an article on youth & climate change."";;@holljj @;;""64097274871029760"";https://twitter.com/lucemorals/status/64097274871029760",,,"lucemorals;2011-04-29 17:42;0;0;""@holljj I should talk to @ aidanjago ? Ok cool cats",, thank ya,,"lucemorals;2011-04-29 17:42;0;0;""@holljj I should talk to @ aidanjago ? Ok cool cats  thank ya",
"radixextreme;2011-04-29 17:38;0;0;""Climate Change News: Facebook accused of removing activists' pages: Protest groups claim Facebook has take... http://tinyurl.com/3syuzce"";;;;""64096200680423424"";https://twitter.com/radixextreme/status/64096200680423424  ",,,,,"radixextreme;2011-04-29 17:38;0;0;""Climate Change News: Facebook accused of removing activists' pages: Protest groups claim Facebook has take... http://tinyurl.com/3syuzce"";;;;""64096200680423424"";https://twitter.com/radixextreme/status/64096200680423424",,,,"radixextreme;2011-04-29 17:38;0;0;""Climate Change News: Facebook accused of removing activists' pages: Protest groups claim Facebook has take... http://tinyurl.com/3syuzce"";;;;""64096200680423424"";https://twitter.com/radixextreme/status/64096200680423424 ",
"Eleplumps;2011-04-29 17:37;0;0;""Climate Change: A Holy Moly Gutsy Week in Cleantech (Cleantech Blog): Reading cleantech news and SEC filings... http://feedzil.la/jIk9PP"";;;;""64096056564125697"";https://twitter.com/Eleplumps/status/64096056564125697  ",,,,,"Eleplumps;2011-04-29 17:37;0;0;""Climate Change: A Holy Moly Gutsy Week in Cleantech (Cleantech Blog): Reading cleantech news and SEC filings... http://feedzil.la/jIk9PP"";;;;""64096056564125697"";https://twitter.com/Eleplumps/status/64096056564125697",,,,"Eleplumps;2011-04-29 17:37;0;0;""Climate Change: A Holy Moly Gutsy Week in Cleantech (Cleantech Blog): Reading cleantech news and SEC filings... http://feedzil.la/jIk9PP"";;;;""64096056564125697"";https://twitter.com/Eleplumps/status/64096056564125697 ",
"TheGreenDemon;2011-04-29 17:37;0;0;""Disaster Needed for US to Act on Climate Change  Stavins Says: By Kim Chipman and Brian K. Sullivan - Fri Apr 29... http://bit.ly/ms1wkO"";;;;""64095975450480640"";https://twitter.com/TheGreenDemon/status/64095975450480640 ",,,,,"TheGreenDemon;2011-04-29 17:37;0;0;""Disaster Needed for US to Act on Climate Change",," Stavins Says: By Kim Chipman and Brian K. Sullivan - Fri Apr 29... http://bit.ly/ms1wkO"";;;;""64095975450480640"";https://twitter.com/TheGreenDemon/status/64095975450480640",,"TheGreenDemon;2011-04-29 17:37;0;0;""Disaster Needed for US to Act on Climate Change  Stavins Says: By Kim Chipman and Brian K. Sullivan - Fri Apr 29... http://bit.ly/ms1wkO"";;;;""64095975450480640"";https://twitter.com/TheGreenDemon/status/64095975450480640",
"TheGreenDemon;2011-04-29 17:37;0;0;""Royal Weddings and Climate Change: Click on a wedding to see what that year's climate was like in Central Englan... http://bit.ly/iWz9z4"";;;;""64095974603231232"";https://twitter.com/TheGreenDemon/status/64095974603231232  ",,,,,"TheGreenDemon;2011-04-29 17:37;0;0;""Royal Weddings and Climate Change: Click on a wedding to see what that year's climate was like in Central Englan... http://bit.ly/iWz9z4"";;;;""64095974603231232"";https://twitter.com/TheGreenDemon/status/64095974603231232",,,,"TheGreenDemon;2011-04-29 17:37;0;0;""Royal Weddings and Climate Change: Click on a wedding to see what that year's climate was like in Central Englan... http://bit.ly/iWz9z4"";;;;""64095974603231232"";https://twitter.com/TheGreenDemon/status/64095974603231232 ",
"pamstrayer;2011-04-29 17:37;0;0;""Fedex is not into climate change and saving energy at all!"";;;;""64095959965118464"";https://twitter.com/pamstrayer/status/64095959965118464  ",,,,,"pamstrayer;2011-04-29 17:37;0;0;""Fedex is not into climate change and saving energy at all!"";;;;""64095959965118464"";https://twitter.com/pamstrayer/status/64095959965118464",,,,"pamstrayer;2011-04-29 17:37;0;0;""Fedex is not into climate change and saving energy at all!"";;;;""64095959965118464"";https://twitter.com/pamstrayer/status/64095959965118464 ",
"JaniceChase;2011-04-29 17:37;0;0;""Disaster Needed for US to Act on Climate Change  Stavins Says http://bit.ly/NTFig"";;;;""64095903635603457"";https://twitter.com/JaniceChase/status/64095903635603457 ",,,,,"JaniceChase;2011-04-29 17:37;0;0;""Disaster Needed for US to Act on Climate Change",," Stavins Says http://bit.ly/NTFig"";;;;""64095903635603457"";https://twitter.com/JaniceChase/status/64095903635603457",,"JaniceChase;2011-04-29 17:37;0;0;""Disaster Needed for US to Act on Climate Change  Stavins Says http://bit.ly/NTFig"";;;;""64095903635603457"";https://twitter.com/JaniceChase/status/64095903635603457",
"Beowulfgmn;2011-04-29 17:37;0;0;""Disaster Needed for US to Act on Climate Change  Stavins Says http://tinyurl.com/44mx3bu"";;;;""64095903371362304"";https://twitter.com/Beowulfgmn/status/64095903371362304 ",,,,,"Beowulfgmn;2011-04-29 17:37;0;0;""Disaster Needed for US to Act on Climate Change",," Stavins Says http://tinyurl.com/44mx3bu"";;;;""64095903371362304"";https://twitter.com/Beowulfgmn/status/64095903371362304",,"Beowulfgmn;2011-04-29 17:37;0;0;""Disaster Needed for US to Act on Climate Change  Stavins Says http://tinyurl.com/44mx3bu"";;;;""64095903371362304"";https://twitter.com/Beowulfgmn/status/64095903371362304",
"castleinireland;2011-04-29 17:36;0;0;""Royal Weddings and Climate Change: At Climate Central  we are excited about the Royal Wedding not because it's a... http://bit.ly/mkjFeT"";;;;""64095841249538049"";https://twitter.com/castleinireland/status/64095841249538049 ",,,,,"castleinireland;2011-04-29 17:36;0;0;""Royal Weddings and Climate Change: At Climate Central",," we are excited about the Royal Wedding not because it's a... http://bit.ly/mkjFeT"";;;;""64095841249538049"";https://twitter.com/castleinireland/status/64095841249538049",,"castleinireland;2011-04-29 17:36;0;0;""Royal Weddings and Climate Change: At Climate Central  we are excited about the Royal Wedding not because it's a... http://bit.ly/mkjFeT"";;;;""64095841249538049"";https://twitter.com/castleinireland/status/64095841249538049",
