tweets,,,,,,,,,,,tweets ,,,,,username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,
"NDRichmond;2015-04-29 18:57;0;0;""ND-GAIN  part of the Climate Change Adaptation program of the University of Notre Dame Environmental Change... http://fb.me/6NWjqLXLf"";;;;""593564809897054208"";https://twitter.com/NDRichmond/status/593564809897054208",,,,,,,,,,,"NDRichmond;2015-04-29 18:57;0;0;""ND-GAIN  part of the Climate Change Adaptation program of the University of Notre Dame Environmental Change... http://fb.me/6NWjqLXLf"";;;;""593564809897054208"";https://twitter.com/NDRichmond/status/593564809897054208 ",,,,,"NDRichmond;2015-04-29 18:57;0;0;""ND-GAIN"," part of the Climate Change Adaptation program of the University of Notre Dame Environmental Change... http://fb.me/6NWjqLXLf"";;;;""593564809897054208"";https://twitter.com/NDRichmond/status/593564809897054208",,
"UrbanScape;2015-04-29 18:57;0;0;""""Cities are in the frontline of the struggle against climate change! https://lnkd.in/e4tz63t"";;;;""593564805174202369"";https://twitter.com/UrbanScape/status/593564805174202369 ",,,,,,,,,,,"UrbanScape;2015-04-29 18:57;0;0;""""Cities are in the frontline of the struggle against climate change! https://lnkd.in/e4tz63t"";;;;""593564805174202369"";https://twitter.com/UrbanScape/status/593564805174202369  ",,,,,"UrbanScape;2015-04-29 18:57;0;0;""""Cities are in the frontline of the struggle against climate change! https://lnkd.in/e4tz63t"";;;;""593564805174202369"";https://twitter.com/UrbanScape/status/593564805174202369",,,
"CARICOMorg;2015-04-29 18:57;0;0;""CARICOM Today: Grenada braces for impacts of climate change http://bit.ly/1Ahf4sV"";;;;""593564679445815297"";https://twitter.com/CARICOMorg/status/593564679445815297 ",,,,,,,,,,,"CARICOMorg;2015-04-29 18:57;0;0;""CARICOM Today: Grenada braces for impacts of climate change http://bit.ly/1Ahf4sV"";;;;""593564679445815297"";https://twitter.com/CARICOMorg/status/593564679445815297  ",,,,,"CARICOMorg;2015-04-29 18:57;0;0;""CARICOM Today: Grenada braces for impacts of climate change http://bit.ly/1Ahf4sV"";;;;""593564679445815297"";https://twitter.com/CARICOMorg/status/593564679445815297",,,
"carbonpraxis;2015-04-29 18:56;0;0;""Look out # qld more wild # weather on the way http://ab.co/1GGRL0B  Is this # climatechange ? More intense  more often",,,,,,,,,,,"carbonpraxis;2015-04-29 18:56;0;0;""Look out # qld more wild # weather on the way http://ab.co/1GGRL0B  Is this # climatechange ? More intense  more often  more # weird? # auspol"";;;# # # # #;""593564440999501824"";https://twitter.com/carbonpraxis/status/593564440999501824",,,,,"carbonpraxis;2015-04-29 18:56;0;0;""Look out # qld more wild # weather on the way http://ab.co/1GGRL0B  Is this # climatechange ? More intense", more often," more # weird? # auspol"";;;# # # # #;""593564440999501824"";https://twitter.com/carbonpraxis/status/593564440999501824",
"ohioseagrant;2015-04-29 18:56;1;0;""Study: Climate change may make ag best practices less effective for # LakeErie http://buff.ly/1P6QpOI pic.twitter.com/TYTM88Wf6h"";;;#;""593564427984760832"";https://twitter.com/ohioseagrant/status/593564427984760832 ",,,,,,,,,,,"ohioseagrant;2015-04-29 18:56;1;0;""Study: Climate change may make ag best practices less effective for # LakeErie http://buff.ly/1P6QpOI pic.twitter.com/TYTM88Wf6h"";;;#;""593564427984760832"";https://twitter.com/ohioseagrant/status/593564427984760832  ",,,,,"ohioseagrant;2015-04-29 18:56;1;0;""Study: Climate change may make ag best practices less effective for # LakeErie http://buff.ly/1P6QpOI pic.twitter.com/TYTM88Wf6h"";;;#;""593564427984760832"";https://twitter.com/ohioseagrant/status/593564427984760832",,,
"psychicauthorj1;2015-04-29 18:55;0;0;""Jacqueline says Climate changes and so do we  go with the flow and grow. @ psychicauthorj1 http://soo.gd/IApT"";;@;;""593564387262201856"";https://twitter.com/psychicauthorj1/status/593564387262201856",,,,,,,,,,,"psychicauthorj1;2015-04-29 18:55;0;0;""Jacqueline says Climate changes and so do we  go with the flow and grow. @ psychicauthorj1 http://soo.gd/IApT"";;@;;""593564387262201856"";https://twitter.com/psychicauthorj1/status/593564387262201856 ",,,,,"psychicauthorj1;2015-04-29 18:55;0;0;""Jacqueline says Climate changes and so do we"," go with the flow and grow. @ psychicauthorj1 http://soo.gd/IApT"";;@;;""593564387262201856"";https://twitter.com/psychicauthorj1/status/593564387262201856",,
"CocoaCentre;2015-04-29 18:55;3;3;""Chocolate industry must invest in readying farmers (and cocoa) for climate change. http://fb.me/6yEpwjRDX"";;;;""593564358673866753"";https://twitter.com/CocoaCentre/status/593564358673866753 ",,,,,,,,,,,"CocoaCentre;2015-04-29 18:55;3;3;""Chocolate industry must invest in readying farmers (and cocoa) for climate change. http://fb.me/6yEpwjRDX"";;;;""593564358673866753"";https://twitter.com/CocoaCentre/status/593564358673866753  ",,,,,"CocoaCentre;2015-04-29 18:55;3;3;""Chocolate industry must invest in readying farmers (and cocoa) for climate change. http://fb.me/6yEpwjRDX"";;;;""593564358673866753"";https://twitter.com/CocoaCentre/status/593564358673866753",,,
"EbolaPope;2015-04-29 18:55;0;0;""RT ABCNews24: .amapresident Brian Owler: There are going to be changes in disease patterns as the climate warms # climatechange"";;;#;""593564331943534594"";https://twitter.com/EbolaPope/status/593564331943534594 ",,,,,,,,,,,"EbolaPope;2015-04-29 18:55;0;0;""RT ABCNews24: .amapresident Brian Owler: There are going to be changes in disease patterns as the climate warms # climatechange"";;;#;""593564331943534594"";https://twitter.com/EbolaPope/status/593564331943534594  ",,,,,"EbolaPope;2015-04-29 18:55;0;0;""RT ABCNews24: .amapresident Brian Owler: There are going to be changes in disease patterns as the climate warms # climatechange"";;;#;""593564331943534594"";https://twitter.com/EbolaPope/status/593564331943534594",,,
"EbolaPope;2015-04-29 18:55;0;0;""RT ABCNews24: .amapresident Brian Owler: We will see more tropical diseases spread in Australia as the climate warms # climatechange"";;;#;""593564331134099456"";https://twitter.com/EbolaPope/status/593564331134099456 ",,,,,,,,,,,"EbolaPope;2015-04-29 18:55;0;0;""RT ABCNews24: .amapresident Brian Owler: We will see more tropical diseases spread in Australia as the climate warms # climatechange"";;;#;""593564331134099456"";https://twitter.com/EbolaPope/status/593564331134099456  ",,,,,"EbolaPope;2015-04-29 18:55;0;0;""RT ABCNews24: .amapresident Brian Owler: We will see more tropical diseases spread in Australia as the climate warms # climatechange"";;;#;""593564331134099456"";https://twitter.com/EbolaPope/status/593564331134099456",,,
"WSUDiscovery;2015-04-29 18:55;0;0;""Tibetan Millet Mystery Solved With New Agricultural Model (It was the climate change.) http://ow.ly/Mj6bG  via @ archaeologymag"";;@;;""593564243842179073"";https://twitter.com/WSUDiscovery/status/593564243842179073 ",,,,,,,,,,,"WSUDiscovery;2015-04-29 18:55;0;0;""Tibetan Millet Mystery Solved With New Agricultural Model (It was the climate change.) http://ow.ly/Mj6bG  via @ archaeologymag"";;@;;""593564243842179073"";https://twitter.com/WSUDiscovery/status/593564243842179073  ",,,,,"WSUDiscovery;2015-04-29 18:55;0;0;""Tibetan Millet Mystery Solved With New Agricultural Model (It was the climate change.) http://ow.ly/Mj6bG  via @ archaeologymag"";;@;;""593564243842179073"";https://twitter.com/WSUDiscovery/status/593564243842179073",,,
